experiment,epoch,configuration,val_accuracy,train_accuracy
configuration_3x3_3x3,1,"conv3x3,conv3x3",0.4049,0.41308333333333336
configuration_3x3_3x3,2,"conv3x3,conv3x3",0.3419,0.3499
configuration_3x3_3x3,3,"conv3x3,conv3x3",0.4307,0.43038333333333334
configuration_3x3_3x3,4,"conv3x3,conv3x3",0.5981,0.5936666666666667
configuration_3x3_3x3,5,"conv3x3,conv3x3",0.7152,0.7071666666666667
configuration_3x3_3x3,6,"conv3x3,conv3x3",0.7748,0.76775
configuration_3x3_3x3,7,"conv3x3,conv3x3",0.8002,0.7913666666666667
configuration_3x3_3x3,8,"conv3x3,conv3x3",0.8183,0.8095833333333333
configuration_3x3_3x3,9,"conv3x3,conv3x3",0.8292,0.82285
configuration_3x3_3x3,10,"conv3x3,conv3x3",0.8359,0.83
configuration_3x3_3x3,11,"conv3x3,conv3x3",0.8415,0.8360333333333333
configuration_3x3_3x3,12,"conv3x3,conv3x3",0.8459,0.8402666666666667
configuration_3x3_3x3,13,"conv3x3,conv3x3",0.8487,0.8437
configuration_3x3_3x3,14,"conv3x3,conv3x3",0.8507,0.8474166666666667
configuration_3x3_3x3,15,"conv3x3,conv3x3",0.8552,0.8505
configuration_3x3_3x3,16,"conv3x3,conv3x3",0.858,0.8529833333333333
configuration_3x3_3x3,17,"conv3x3,conv3x3",0.8607,0.8557
configuration_3x3_3x3,18,"conv3x3,conv3x3",0.8753,0.8705333333333334
configuration_3x3_3x3,19,"conv3x3,conv3x3",0.9229,0.91505
configuration_3x3_3x3,20,"conv3x3,conv3x3",0.9355,0.9314166666666667
configuration_3x3_3x3,21,"conv3x3,conv3x3",0.9428,0.9379666666666666
configuration_3x3_3x3,22,"conv3x3,conv3x3",0.9456,0.9419666666666666
configuration_3x3_3x3,23,"conv3x3,conv3x3",0.9483,0.9452333333333334
configuration_3x3_3x3,24,"conv3x3,conv3x3",0.951,0.9484
configuration_3x3_3x3,25,"conv3x3,conv3x3",0.9525,0.9507666666666666
configuration_3x3_3x3,26,"conv3x3,conv3x3",0.954,0.9523
configuration_3x3_3x3,27,"conv3x3,conv3x3",0.9574,0.95465
configuration_3x3_3x3,28,"conv3x3,conv3x3",0.9592,0.9563666666666667
configuration_3x3_3x3,29,"conv3x3,conv3x3",0.9609,0.9581333333333333
configuration_3x3_3x3,30,"conv3x3,conv3x3",0.9625,0.9593333333333334
configuration_3x3_3x3,31,"conv3x3,conv3x3",0.9636,0.9608333333333333
configuration_3x3_3x3,32,"conv3x3,conv3x3",0.965,0.96195
configuration_3x3_3x3,33,"conv3x3,conv3x3",0.9655,0.9629
configuration_3x3_3x3,34,"conv3x3,conv3x3",0.9663,0.9644
configuration_3x3_3x3,35,"conv3x3,conv3x3",0.9674,0.9654833333333334
configuration_3x3_3x3,36,"conv3x3,conv3x3",0.9685,0.9663166666666667
configuration_3x3_3x3,37,"conv3x3,conv3x3",0.9698,0.9673666666666667
configuration_3x3_3x3,38,"conv3x3,conv3x3",0.9701,0.9680833333333333
configuration_3x3_3x3,39,"conv3x3,conv3x3",0.971,0.96875
configuration_3x3_3x3,40,"conv3x3,conv3x3",0.9715,0.9697833333333333
configuration_3x3_3x3,41,"conv3x3,conv3x3",0.9716,0.9704
configuration_3x3_3x3,42,"conv3x3,conv3x3",0.9723,0.9710833333333333
configuration_3x3_3x3,43,"conv3x3,conv3x3",0.9726,0.9715833333333334
configuration_3x3_3x3,44,"conv3x3,conv3x3",0.9733,0.9723666666666667
configuration_3x3_3x3,45,"conv3x3,conv3x3",0.9733,0.9722
configuration_3x3_3x3,46,"conv3x3,conv3x3",0.9737,0.9729666666666666
configuration_3x3_3x3,47,"conv3x3,conv3x3",0.9743,0.9735
configuration_3x3_3x3,48,"conv3x3,conv3x3",0.9747,0.97385
configuration_3x3_3x3,49,"conv3x3,conv3x3",0.9754,0.97425
configuration_3x3_3x3,50,"conv3x3,conv3x3",0.975,0.9745
configuration_3x3_3x3,51,"conv3x3,conv3x3",0.9752,0.9751
configuration_3x3_3x3,52,"conv3x3,conv3x3",0.9764,0.9755333333333334
configuration_3x3_3x3,53,"conv3x3,conv3x3",0.9768,0.97585
configuration_3x3_3x3,54,"conv3x3,conv3x3",0.9762,0.9761333333333333
configuration_3x3_3x3,55,"conv3x3,conv3x3",0.9766,0.9764666666666667
configuration_3x3_3x3,56,"conv3x3,conv3x3",0.9776,0.9768666666666667
configuration_3x3_3x3,57,"conv3x3,conv3x3",0.9771,0.9770666666666666
configuration_3x3_3x3,58,"conv3x3,conv3x3",0.9778,0.9776333333333334
configuration_3x3_3x3,59,"conv3x3,conv3x3",0.9779,0.9781166666666666
configuration_3x3_3x3,60,"conv3x3,conv3x3",0.9786,0.9781666666666666
configuration_3x3_3x3,61,"conv3x3,conv3x3",0.9789,0.979
configuration_3x3_3x3,62,"conv3x3,conv3x3",0.9789,0.9794
configuration_3x3_3x3,63,"conv3x3,conv3x3",0.9788,0.97955
configuration_3x3_3x3,64,"conv3x3,conv3x3",0.9789,0.9799333333333333
configuration_3x3_3x3,65,"conv3x3,conv3x3",0.9791,0.97995
configuration_3x3_3x3,66,"conv3x3,conv3x3",0.9796,0.9804
configuration_3x3_3x3,67,"conv3x3,conv3x3",0.98,0.9806166666666667
configuration_3x3_3x3,68,"conv3x3,conv3x3",0.9804,0.9808
configuration_3x3_3x3,69,"conv3x3,conv3x3",0.9803,0.9810166666666666
configuration_3x3_3x3,70,"conv3x3,conv3x3",0.9807,0.98135
configuration_3x3_3x3,71,"conv3x3,conv3x3",0.9804,0.9817833333333333
configuration_3x3_3x3,72,"conv3x3,conv3x3",0.9805,0.9816
configuration_3x3_3x3,73,"conv3x3,conv3x3",0.9806,0.9823666666666667
configuration_3x3_3x3,74,"conv3x3,conv3x3",0.9816,0.9822666666666666
configuration_3x3_3x3,75,"conv3x3,conv3x3",0.9813,0.9826333333333334
configuration_3x3_3x3,76,"conv3x3,conv3x3",0.9818,0.9824166666666667
configuration_3x3_3x3,77,"conv3x3,conv3x3",0.982,0.9829333333333333
configuration_3x3_3x3,78,"conv3x3,conv3x3",0.9821,0.9835333333333334
configuration_3x3_3x3,79,"conv3x3,conv3x3",0.9818,0.9835833333333334
configuration_3x3_3x3,80,"conv3x3,conv3x3",0.9826,0.9837666666666667
configuration_3x3_3x3,81,"conv3x3,conv3x3",0.9828,0.98415
configuration_3x3_3x3,82,"conv3x3,conv3x3",0.9833,0.9839166666666667
configuration_3x3_3x3,83,"conv3x3,conv3x3",0.983,0.98425
configuration_3x3_3x3,84,"conv3x3,conv3x3",0.9831,0.9844666666666667
configuration_3x3_3x3,85,"conv3x3,conv3x3",0.9838,0.9846333333333334
configuration_3x3_3x3,86,"conv3x3,conv3x3",0.9843,0.9847833333333333
configuration_3x3_3x3,87,"conv3x3,conv3x3",0.9834,0.98505
configuration_3x3_3x3,88,"conv3x3,conv3x3",0.9829,0.9853166666666666
configuration_3x3_3x3,89,"conv3x3,conv3x3",0.9827,0.9852666666666666
configuration_3x3_3x3,90,"conv3x3,conv3x3",0.983,0.9854666666666667
configuration_3x3_3x3,91,"conv3x3,conv3x3",0.9832,0.9856833333333334
configuration_3x3_3x3,92,"conv3x3,conv3x3",0.9836,0.9859666666666667
configuration_3x3_3x3,93,"conv3x3,conv3x3",0.9839,0.9858
configuration_3x3_3x3,94,"conv3x3,conv3x3",0.9838,0.9859166666666667
configuration_3x3_3x3,95,"conv3x3,conv3x3",0.9837,0.9863166666666666
configuration_3x3_3x3,96,"conv3x3,conv3x3",0.9839,0.98645
configuration_3x3_3x3,97,"conv3x3,conv3x3",0.984,0.98655
configuration_3x3_3x3,98,"conv3x3,conv3x3",0.984,0.9864666666666667
configuration_3x3_3x3,99,"conv3x3,conv3x3",0.9839,0.9869
configuration_3x3_3x3,100,"conv3x3,conv3x3",0.9847,0.9867166666666667
configuration_3x3_3x3,101,"conv3x3,conv3x3",0.9839,0.987
configuration_3x3_3x3,102,"conv3x3,conv3x3",0.984,0.9870333333333333
configuration_3x3_3x3,103,"conv3x3,conv3x3",0.9847,0.9873
configuration_3x3_3x3,104,"conv3x3,conv3x3",0.9847,0.98765
configuration_3x3_3x3,105,"conv3x3,conv3x3",0.9844,0.98775
configuration_3x3_3x3,106,"conv3x3,conv3x3",0.9849,0.9878333333333333
configuration_3x3_3x3,107,"conv3x3,conv3x3",0.9844,0.9879833333333333
configuration_3x3_3x3,108,"conv3x3,conv3x3",0.9852,0.98815
configuration_3x3_3x3,109,"conv3x3,conv3x3",0.9843,0.98825
configuration_3x3_3x3,110,"conv3x3,conv3x3",0.9851,0.9885166666666667
configuration_3x3_3x3,111,"conv3x3,conv3x3",0.9846,0.98855
configuration_3x3_3x3,112,"conv3x3,conv3x3",0.9847,0.9885
configuration_3x3_3x3,113,"conv3x3,conv3x3",0.9844,0.9885
configuration_3x3_3x3,114,"conv3x3,conv3x3",0.9847,0.9886333333333334
configuration_3x3_3x3,115,"conv3x3,conv3x3",0.9848,0.9889
configuration_3x3_3x3,116,"conv3x3,conv3x3",0.9848,0.9889833333333333
configuration_3x3_3x3,117,"conv3x3,conv3x3",0.9849,0.9889333333333333
configuration_3x3_3x3,118,"conv3x3,conv3x3",0.9852,0.9891333333333333
configuration_3x3_3x3,119,"conv3x3,conv3x3",0.9849,0.9893666666666666
configuration_3x3_3x3,120,"conv3x3,conv3x3",0.9852,0.9892
configuration_3x3_3x3,121,"conv3x3,conv3x3",0.9849,0.9895833333333334
configuration_3x3_3x3,122,"conv3x3,conv3x3",0.9851,0.9896
configuration_3x3_3x3,123,"conv3x3,conv3x3",0.985,0.9895666666666667
configuration_3x3_3x3,124,"conv3x3,conv3x3",0.9849,0.98995
configuration_3x3_3x3,125,"conv3x3,conv3x3",0.9852,0.9898166666666667
configuration_3x3_3x3,126,"conv3x3,conv3x3",0.9855,0.9899166666666667
configuration_3x3_3x3,127,"conv3x3,conv3x3",0.9854,0.9899333333333333
configuration_3x3_3x3,128,"conv3x3,conv3x3",0.9848,0.9902
configuration_3x3_3x3,129,"conv3x3,conv3x3",0.9856,0.99035
configuration_3x3_3x3,130,"conv3x3,conv3x3",0.9852,0.99025
configuration_3x3_3x3,131,"conv3x3,conv3x3",0.9856,0.9905
configuration_3x3_3x3,132,"conv3x3,conv3x3",0.9855,0.9904833333333334
