experiment,epoch,configuration,val_accuracy,train_accuracy
random_configuration_rerun,1,"conv5x5,conv3x3",0.4033,0.39741666666666664
random_configuration_rerun,1,"conv5x5,conv5x5",0.3459,0.32895
random_configuration_rerun,1,"conv3x3,conv3x3",0.3573,0.35705
random_configuration_rerun,1,"conv3x3,conv5x5",0.2476,0.25366666666666665
random_configuration_rerun,2,"conv5x5,conv3x3",0.3425,0.3497
random_configuration_rerun,2,"conv5x5,conv5x5",0.2347,0.23043333333333332
random_configuration_rerun,2,"conv3x3,conv3x3",0.2721,0.27531666666666665
random_configuration_rerun,2,"conv3x3,conv5x5",0.1854,0.18741666666666668
random_configuration_rerun,3,"conv5x5,conv3x3",0.2655,0.26215
random_configuration_rerun,3,"conv5x5,conv5x5",0.1248,0.12268333333333334
random_configuration_rerun,3,"conv3x3,conv3x3",0.2601,0.2603666666666667
random_configuration_rerun,3,"conv3x3,conv5x5",0.098,0.09871666666666666
random_configuration_rerun,4,"conv5x5,conv3x3",0.4412,0.44443333333333335
random_configuration_rerun,4,"conv5x5,conv5x5",0.4284,0.4336833333333333
random_configuration_rerun,4,"conv3x3,conv3x3",0.3967,0.40098333333333336
random_configuration_rerun,4,"conv3x3,conv5x5",0.3354,0.33876666666666666
random_configuration_rerun,5,"conv5x5,conv3x3",0.465,0.4638833333333333
random_configuration_rerun,5,"conv5x5,conv5x5",0.4783,0.4802666666666667
random_configuration_rerun,5,"conv3x3,conv3x3",0.4469,0.4445
random_configuration_rerun,5,"conv3x3,conv5x5",0.4482,0.44716666666666666
random_configuration_rerun,6,"conv5x5,conv3x3",0.519,0.5220333333333333
random_configuration_rerun,6,"conv5x5,conv5x5",0.5571,0.5533166666666667
random_configuration_rerun,6,"conv3x3,conv3x3",0.5199,0.5148833333333334
random_configuration_rerun,6,"conv3x3,conv5x5",0.5346,0.52825
random_configuration_rerun,7,"conv5x5,conv3x3",0.6799,0.6682333333333333
random_configuration_rerun,7,"conv5x5,conv5x5",0.6501,0.6440666666666667
random_configuration_rerun,7,"conv3x3,conv3x3",0.6609,0.64665
random_configuration_rerun,7,"conv3x3,conv5x5",0.6293,0.6222666666666666
random_configuration_rerun,8,"conv5x5,conv3x3",0.6929,0.68325
random_configuration_rerun,8,"conv5x5,conv5x5",0.6517,0.6444
random_configuration_rerun,8,"conv3x3,conv3x3",0.678,0.6672
random_configuration_rerun,8,"conv3x3,conv5x5",0.6456,0.6382833333333333
random_configuration_rerun,9,"conv5x5,conv3x3",0.7117,0.7017166666666667
random_configuration_rerun,9,"conv5x5,conv5x5",0.6575,0.6537833333333334
random_configuration_rerun,9,"conv3x3,conv3x3",0.7,0.6879333333333333
random_configuration_rerun,9,"conv3x3,conv5x5",0.6476,0.64225
random_configuration_rerun,10,"conv5x5,conv3x3",0.7243,0.7150166666666666
random_configuration_rerun,10,"conv5x5,conv5x5",0.6629,0.6577166666666666
random_configuration_rerun,10,"conv3x3,conv3x3",0.713,0.7024333333333334
random_configuration_rerun,10,"conv3x3,conv5x5",0.6563,0.6516833333333333
random_configuration_rerun,11,"conv5x5,conv3x3",0.7328,0.7240666666666666
random_configuration_rerun,11,"conv5x5,conv5x5",0.6648,0.6610333333333334
random_configuration_rerun,11,"conv3x3,conv3x3",0.7236,0.7132333333333334
random_configuration_rerun,11,"conv3x3,conv5x5",0.6592,0.65405
random_configuration_rerun,12,"conv5x5,conv3x3",0.739,0.7313333333333333
random_configuration_rerun,12,"conv5x5,conv5x5",0.6674,0.6634666666666666
random_configuration_rerun,12,"conv3x3,conv3x3",0.7306,0.7219
random_configuration_rerun,12,"conv3x3,conv5x5",0.6622,0.6565
random_configuration_rerun,13,"conv5x5,conv3x3",0.7389,0.7281
random_configuration_rerun,13,"conv5x5,conv5x5",0.7087,0.6988333333333333
random_configuration_rerun,13,"conv3x3,conv3x3",0.7314,0.72045
random_configuration_rerun,13,"conv3x3,conv5x5",0.7183,0.7106166666666667
random_configuration_rerun,14,"conv5x5,conv3x3",0.7408,0.7308
random_configuration_rerun,14,"conv5x5,conv5x5",0.7281,0.7197166666666667
random_configuration_rerun,14,"conv3x3,conv3x3",0.7377,0.7295666666666667
random_configuration_rerun,14,"conv3x3,conv5x5",0.7392,0.7301666666666666
random_configuration_rerun,15,"conv5x5,conv3x3",0.7437,0.7336333333333334
random_configuration_rerun,15,"conv5x5,conv5x5",0.7264,0.71925
random_configuration_rerun,15,"conv3x3,conv3x3",0.7413,0.73295
random_configuration_rerun,15,"conv3x3,conv5x5",0.7377,0.7294166666666667
random_configuration_rerun,16,"conv5x5,conv3x3",0.7488,0.7425166666666667
random_configuration_rerun,16,"conv5x5,conv5x5",0.7491,0.7408666666666667
random_configuration_rerun,16,"conv3x3,conv3x3",0.7436,0.7364666666666667
random_configuration_rerun,16,"conv3x3,conv5x5",0.7486,0.7399333333333333
random_configuration_rerun,17,"conv5x5,conv3x3",0.7532,0.7458833333333333
random_configuration_rerun,17,"conv5x5,conv5x5",0.7507,0.74255
random_configuration_rerun,17,"conv3x3,conv3x3",0.7446,0.7388
random_configuration_rerun,17,"conv3x3,conv5x5",0.7483,0.7398
random_configuration_rerun,18,"conv5x5,conv3x3",0.7555,0.7480333333333333
random_configuration_rerun,18,"conv5x5,conv5x5",0.7524,0.74545
